Run,analyte_type,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,biospecimen_repository,biospecimen_repository_sample_id,body_site,Bytes,Center Name,Consent_Code,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gap_accession,histological_type,Instrument,is_tumor,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,study_design,study_name,submitted_subject_id
SRR10826565,RNA,RNA-Seq,100,1609345300,PRJNA568199,SAMN13716724,BrainDevelopment_Autism,1500-20514678_1500_S56_L007,Brain,549556353,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499939,phs001900,Neocortex,Illumina HiSeq 2500,No,1500-20514678_1500_S56_L007,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1500-20514678_1500_S56_L007,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1500
SRR10826566,RNA,RNA-Seq,100,1619007500,PRJNA568199,SAMN13717605,BrainDevelopment_Autism,1500-20514678_1500_S56_L008,Brain,551749262,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499940,phs001900,Neocortex,Illumina HiSeq 2500,No,1500-20514678_1500_S56_L008,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1500-20514678_1500_S56_L008,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1500
SRR10826567,RNA,RNA-Seq,100,1642094900,PRJNA568199,SAMN13717128,BrainDevelopment_Autism,1502-20432468_1502_S57_L007,Brain,562055133,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499941,phs001900,Neocortex,Illumina HiSeq 2500,No,1502-20432468_1502_S57_L007,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1502-20432468_1502_S57_L007,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1502
SRR10826568,RNA,RNA-Seq,100,1649466100,PRJNA568199,SAMN13716855,BrainDevelopment_Autism,1502-20432468_1502_S57_L008,Brain,563232724,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499942,phs001900,Neocortex,Illumina HiSeq 2500,No,1502-20432468_1502_S57_L008,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1502-20432468_1502_S57_L008,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1502
SRR10826569,RNA,RNA-Seq,100,2030717300,PRJNA568199,SAMN13717116,BrainDevelopment_Autism,1502-20623826_1502_S57_L007,Brain,690866223,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499943,phs001900,Neocortex,Illumina HiSeq 2500,No,1502-20623826_1502_S57_L007,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1502-20623826_1502_S57_L007,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1502
SRR10826570,RNA,RNA-Seq,100,2041292000,PRJNA568199,SAMN13717528,BrainDevelopment_Autism,1502-20623826_1502_S57_L008,Brain,693184277,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499944,phs001900,Neocortex,Illumina HiSeq 2500,No,1502-20623826_1502_S57_L008,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1502-20623826_1502_S57_L008,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1502
SRR10826571,RNA,RNA-Seq,100,1982029000,PRJNA568199,SAMN13716831,BrainDevelopment_Autism,1504-20432418_1504_S7_L001,Brain,666064072,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499945,phs001900,Neocortex,Illumina HiSeq 2500,No,1504-20432418_1504_S7_L001,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1504-20432418_1504_S7_L001,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1504
SRR10826572,RNA,RNA-Seq,100,1970249000,PRJNA568199,SAMN13717500,BrainDevelopment_Autism,1504-20432418_1504_S7_L002,Brain,664125657,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499946,phs001900,Neocortex,Illumina HiSeq 2500,No,1504-20432418_1504_S7_L002,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1504-20432418_1504_S7_L002,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1504
SRR10826573,RNA,RNA-Seq,100,2439824200,PRJNA568199,SAMN13716867,BrainDevelopment_Autism,1504-20623776_1504_S7_L001,Brain,808538462,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499947,phs001900,Neocortex,Illumina HiSeq 2500,No,1504-20623776_1504_S7_L001,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1504-20623776_1504_S7_L001,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1504
SRR10826574,RNA,RNA-Seq,100,2428706700,PRJNA568199,SAMN13717307,BrainDevelopment_Autism,1504-20623776_1504_S7_L002,Brain,806182945,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499948,phs001900,Neocortex,Illumina HiSeq 2500,No,1504-20623776_1504_S7_L002,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1504-20623776_1504_S7_L002,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1504
SRR10826575,RNA,RNA-Seq,100,1095028600,PRJNA568199,SAMN13717604,BrainDevelopment_Autism,1507-20432423_1507_S12_L001,Brain,368972839,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7499949,phs001900,Neocortex,Illumina HiSeq 2500,No,1507-20432423_1507_S12_L001,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1507-20432423_1507_S12_L001,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1507
SRR10826576,RNA,RNA-Seq,100,1088484400,PRJNA568199,SAMN13716694,BrainDevelopment_Autism,1507-20432423_1507_S12_L002,Brain,367929461,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500828,phs001900,Neocortex,Illumina HiSeq 2500,No,1507-20432423_1507_S12_L002,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1507-20432423_1507_S12_L002,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1507
SRR10826577,RNA,RNA-Seq,100,1360751100,PRJNA568199,SAMN13717001,BrainDevelopment_Autism,1507-20623781_1507_S12_L001,Brain,452250300,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500829,phs001900,Neocortex,Illumina HiSeq 2500,No,1507-20623781_1507_S12_L001,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1507-20623781_1507_S12_L001,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1507
SRR10826578,RNA,RNA-Seq,100,1351792400,PRJNA568199,SAMN13717129,BrainDevelopment_Autism,1507-20623781_1507_S12_L002,Brain,449898648,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500830,phs001900,Neocortex,Illumina HiSeq 2500,No,1507-20623781_1507_S12_L002,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1507-20623781_1507_S12_L002,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1507
SRR10826579,RNA,RNA-Seq,100,1022427100,PRJNA568199,SAMN13717364,BrainDevelopment_Autism,1511-20514576_1511_S19_L003,Brain,328259488,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500831,phs001900,Neocortex,Illumina HiSeq 2500,No,1511-20514576_1511_S19_L003,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1511-20514576_1511_S19_L003,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1511
SRR10826580,RNA,RNA-Seq,100,1021473200,PRJNA568199,SAMN13717050,BrainDevelopment_Autism,1511-20514576_1511_S19_L004,Brain,327595402,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500832,phs001900,Neocortex,Illumina HiSeq 2500,No,1511-20514576_1511_S19_L004,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1511-20514576_1511_S19_L004,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1511
SRR10826581,RNA,RNA-Seq,100,1038962300,PRJNA568199,SAMN13716808,BrainDevelopment_Autism,1511-20514641_1511_S19_L003,Brain,333392206,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500833,phs001900,Neocortex,Illumina HiSeq 2500,No,1511-20514641_1511_S19_L003,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1511-20514641_1511_S19_L003,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1511
SRR10826582,RNA,RNA-Seq,100,1037542300,PRJNA568199,SAMN13717453,BrainDevelopment_Autism,1511-20514641_1511_S19_L004,Brain,333143825,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500834,phs001900,Neocortex,Illumina HiSeq 2500,No,1511-20514641_1511_S19_L004,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1511-20514641_1511_S19_L004,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1511
SRR10826583,RNA,RNA-Seq,100,1500707400,PRJNA568199,SAMN13716712,BrainDevelopment_Autism,1513-20514591_1513_S34_L005,Brain,502747092,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500835,phs001900,Neocortex,Illumina HiSeq 2500,No,1513-20514591_1513_S34_L005,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1513-20514591_1513_S34_L005,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1513
SRR10826584,RNA,RNA-Seq,100,1500055400,PRJNA568199,SAMN13716811,BrainDevelopment_Autism,1513-20514591_1513_S34_L006,Brain,502764249,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500836,phs001900,Neocortex,Illumina HiSeq 2500,No,1513-20514591_1513_S34_L006,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1513-20514591_1513_S34_L006,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1513
SRR10826585,RNA,RNA-Seq,100,1531249600,PRJNA568199,SAMN13717175,BrainDevelopment_Autism,1513-20514656_1513_S34_L005,Brain,513822518,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500837,phs001900,Neocortex,Illumina HiSeq 2500,No,1513-20514656_1513_S34_L005,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1513-20514656_1513_S34_L005,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1513
SRR10826586,RNA,RNA-Seq,100,1536829000,PRJNA568199,SAMN13716683,BrainDevelopment_Autism,1513-20514656_1513_S34_L006,Brain,516001426,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500838,phs001900,Neocortex,Illumina HiSeq 2500,No,1513-20514656_1513_S34_L006,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1513-20514656_1513_S34_L006,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1513
SRR10826587,RNA,RNA-Seq,100,1158861700,PRJNA568199,SAMN13717292,BrainDevelopment_Autism,1525-20432419_1525_S8_L001,Brain,388742250,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500839,phs001900,Neocortex,Illumina HiSeq 2500,No,1525-20432419_1525_S8_L001,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1525-20432419_1525_S8_L001,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1525
SRR10826588,RNA,RNA-Seq,100,1151572900,PRJNA568199,SAMN13717241,BrainDevelopment_Autism,1525-20432419_1525_S8_L002,Brain,387540436,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500840,phs001900,Neocortex,Illumina HiSeq 2500,No,1525-20432419_1525_S8_L002,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1525-20432419_1525_S8_L002,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1525
SRR10826589,RNA,RNA-Seq,100,1428126500,PRJNA568199,SAMN13717244,BrainDevelopment_Autism,1525-20623777_1525_S8_L001,Brain,471105339,NIMH-PHS001900,1,GRU,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500841,phs001900,Neocortex,Illumina HiSeq 2500,No,1525-20623777_1525_S8_L001,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1525-20623777_1525_S8_L001,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1525
SRR10826590,RNA,RNA-Seq,100,1418715900,PRJNA568199,SAMN13716671,BrainDevelopment_Autism,1525-20623777_1525_S8_L002,Brain,468875376,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500842,phs001900,Neocortex,Illumina HiSeq 2500,No,1525-20623777_1525_S8_L002,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1525-20623777_1525_S8_L002,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1525
SRR10826591,RNA,RNA-Seq,100,1165872700,PRJNA568199,SAMN13717431,BrainDevelopment_Autism,1531-20432428_1531_S17_L003,Brain,407967944,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500843,phs001900,Neocortex,Illumina HiSeq 2500,No,1531-20432428_1531_S17_L003,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1531-20432428_1531_S17_L003,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1531
SRR10826592,RNA,RNA-Seq,100,1172290000,PRJNA568199,SAMN13717596,BrainDevelopment_Autism,1531-20432428_1531_S17_L004,Brain,407789790,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500844,phs001900,Neocortex,Illumina HiSeq 2500,No,1531-20432428_1531_S17_L004,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1531-20432428_1531_S17_L004,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1531
SRR10826593,RNA,RNA-Seq,100,1553597700,PRJNA568199,SAMN13717565,BrainDevelopment_Autism,1531-20623786_1531_S17_L003,Brain,529137685,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500845,phs001900,Neocortex,Illumina HiSeq 2500,No,1531-20623786_1531_S17_L003,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1531-20623786_1531_S17_L003,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1531
SRR10826594,RNA,RNA-Seq,100,1556728900,PRJNA568199,SAMN13716983,BrainDevelopment_Autism,1531-20623786_1531_S17_L004,Brain,530595089,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500846,phs001900,Neocortex,Illumina HiSeq 2500,No,1531-20623786_1531_S17_L004,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1531-20623786_1531_S17_L004,female,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1531
SRR10826595,RNA,RNA-Seq,100,1074919300,PRJNA568199,SAMN13716780,BrainDevelopment_Autism,1533-20432429_1533_S18_L003,Brain,357916318,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500847,phs001900,Neocortex,Illumina HiSeq 2500,No,1533-20432429_1533_S18_L003,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1533-20432429_1533_S18_L003,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1533
SRR10826596,RNA,RNA-Seq,100,1078194000,PRJNA568199,SAMN13717573,BrainDevelopment_Autism,1533-20432429_1533_S18_L004,Brain,357862175,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500848,phs001900,Neocortex,Illumina HiSeq 2500,No,1533-20432429_1533_S18_L004,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1533-20432429_1533_S18_L004,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1533
SRR10826597,RNA,RNA-Seq,100,1420516000,PRJNA568199,SAMN13716771,BrainDevelopment_Autism,1533-20623787_1533_S18_L003,Brain,471747258,NIMH-PHS001900,1,GRU,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.dbgap,s3.us-east-1",SRX7500849,phs001900,Neocortex,Illumina HiSeq 2500,No,1533-20623787_1533_S18_L003,PAIRED,Oligo-dT,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-03-09T00:00:00Z,1533-20623787_1533_S18_L003,male,SRP239428,Prospective Longitudinal Cohort,Genetic Control of Expression and Splicing in Developing Human Brain,1533
